Pendennis Brass Falmouth, 8.5, 9
Bream Silver, 6, 8
Camborne Junior Contesting, 9, 5
Denmead Brass, 8, 14
Downton, 15, 9
Helston Town, 8.5, 3
Phoenix Brass (Crewkerne), 8.5, 11
Poole Borough, 12, 7
Shrewton Silver, 14, 15
Soundhouse Brass, 4, 10
St. Pinnock, 8.5, 12
Weston Brass, 8.5, 13
Cheltenham Silver, 8.5, 9
Cinderford, 8.5, 9
Corsham, 8.5, 9
Midsomer Norton & Radstock Silver, 8.5, 9
