New Forest Brass, 9.5, 9.5
Ocean Brass, 9.5, 9.5
Bath Spa, 12, 4
Bratton Silver, 10, 10
Bugle Silver, 9.5, 15
Gillingham Silver, 4, 6
Lydney Town, 9.5, 8
Porthleven Town, 9, 9
South Molton Town, 13, 7
St Stythians, 7, 13
Swindon Brass, 8, 16
Swindon Pegasus, 9.5, 11
Tewkesbury Town, 16, 14
Weymouth Concert Brass, 15, 17
Wilton & District, 6, 12
Hatherleigh Silver, 9.5, 9.5
Indian Queens, 9.5, 9.5
Pillowell Silver, 9.5, 9.5
Saltash Town, 9.5, 9.5
