Bream Silver, 13, 5
Cinderford, 5, 13
Corsham, 10, 16
Denmead Brass, 7, 14
Downton, 4, 11
Hatherleigh Silver, 8.5, 6
Lydney Town, 8.5, 12
Midsomer Norton & Radstok, 8, 8
Mount Charles, 8.5, 8.5
New Forest Brass, 8.5, 8.5
Phoenix Brass (Crewkerne), 11, 9
Shrewton Silver, 2, 10
South Molton Town, 8.5, 8.5
St. Keverne, 8.5, 8.5
Weston Brass, 12, 2
Wotton-under-Edge & District, 8.5, 4
